"length","memory"
2,632
3,1152
3,792
3,792
3,728
3,728
3,3832
3,1416
3,1416
3,1840
6,680
6,744
6,680
6,680
6,624
6,840
3,4064
6,3552
6,3552
6,3552
6,3552
6,3552
6,9208
6,7984
6,7432
4,920
4,944
7,968
7,1032
7,1032
7,1080
7,1080
7,1128
7,1080
7,1784
7,2792
7,2952
7,2824
7,2952
4,856
4,880
7,1016
7,1032
7,1032
7,1032
7,1128
7,1080
7,1080
7,3336
7,1688
7,2832
7,2824
7,2952
4,856
7,1016
7,1080
7,1032
7,1032
7,1032
7,3336
7,2952
7,1688
4,752
4,1496
7,1032
7,728
7,728
7,728
7,760
7,808
7,760
7,808
7,760
7,1032
7,776
7,1096
7,968
7,2632
7,1016
7,1016
7,2080
7,2264
7,840
7,888
7,888
7,888
7,936
7,888
7,1560
7,2152
7,2152
4,752
4,1496
7,760
7,808
7,728
7,1096
7,728
7,728
7,808
7,760
7,760
7,1016
7,968
7,968
7,776
7,1096
7,2080
7,1016
7,2080
7,2264
7,888
7,888
7,840
7,936
7,888
7,888
7,2280
7,1560
7,2152
4,728
4,728
4,728
4,728
4,792
4,792
4,792
4,728
4,728
4,1496
7,1840
7,728
7,792
7,760
7,728
7,792
7,792
7,760
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,776
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,728
7,2760
7,2760
7,3016
7,3080
7,2760
7,2760
7,3080
7,3080
4,2248
7,2760
7,2760
7,2760
7,2760
7,2760
7,2760
5,1048
8,1112
8,1176
8,1224
8,1224
8,1176
8,2040
8,1848
8,1848
8,1192
11,1128
11,1192
11,1224
11,1224
11,1192
11,2040
11,1848
11,1848
8,1192
11,1128
11,1192
11,1224
11,1224
11,1192
11,2040
11,1848
11,1800
8,1240
11,1176
11,1240
11,1240
11,1240
11,1240
11,1992
11,1800
11,1800
8,1176
11,1176
11,1240
11,1240
11,1240
11,1240
11,1992
11,1800
11,1800
8,1128
11,1128
11,1192
11,1224
11,1224
11,1192
11,1992
11,1800
11,1800
8,1816
11,1816
11,1816
11,1816
11,1816
11,1816
11,1824
11,1824
11,1824
8,1816
11,1816
11,1816
11,1816
11,1816
11,1816
11,1824
11,1824
11,1824
8,1816
11,1816
11,1816
11,1816
11,1816
11,1816
11,1824
11,1824
11,1824
5,880
8,1160
8,1096
8,1160
8,1160
8,1208
8,1208
8,968
8,1080
8,1080
8,1080
8,1128
8,1016
8,1744
8,2248
8,2248
5,880
8,1160
8,1208
8,1160
8,1160
8,1160
8,1208
8,1016
8,1080
8,1032
8,1128
8,1016
8,1080
8,2504
8,1680
8,2248
5,880
5,880
5,832
5,880
5,880
5,880
5,880
5,880
5,880
8,880
8,880
8,880
8,880
8,880
8,880
8,880
8,880
8,880
8,880
8,880
8,880
8,880
8,880
8,880
8,880
8,880
8,880
8,880
8,880
8,880
