"length","formula"
2,"~#"
3,"A>A"
3,"B>B"
3,"#>A"
3,"#>B"
3,"#>#"
3,"A=A"
3,"B=B"
3,"#=#"
3,"~-#"
6,"~(A&#)"
6,"~(B&#)"
6,"~(#&A)"
6,"~(#&B)"
6,"~(#&#)"
6,"~(#|#)"
3,"+~#"
6,"+(A>A)"
6,"+(B>B)"
6,"+(#>A)"
6,"+(#>B)"
6,"+(#>#)"
6,"+(A=A)"
6,"+(B=B)"
6,"+(#=#)"
4,"A|~A"
4,"A|~#"
7,"A|(A>A)"
7,"A|(A>B)"
7,"A|(A>#)"
7,"A|(B>B)"
7,"A|(#>A)"
7,"A|(#>B)"
7,"A|(#>#)"
7,"A|(A=A)"
7,"A|(A=#)"
7,"A|(B=B)"
7,"A|(#=A)"
7,"A|(#=#)"
4,"B|~B"
4,"B|~#"
7,"B|(A>A)"
7,"B|(B>A)"
7,"B|(B>B)"
7,"B|(B>#)"
7,"B|(#>A)"
7,"B|(#>B)"
7,"B|(#>#)"
7,"B|(A=A)"
7,"B|(B=B)"
7,"B|(B=#)"
7,"B|(#=B)"
7,"B|(#=#)"
4,"#|~#"
7,"#|(A>A)"
7,"#|(B>B)"
7,"#|(#>A)"
7,"#|(#>B)"
7,"#|(#>#)"
7,"#|(A=A)"
7,"#|(B=B)"
7,"#|(#=#)"
4,"A>~#"
4,"-#>A"
7,"A>(A&A)"
7,"(A&A)>A"
7,"(A&B)>A"
7,"(A&#)>A"
7,"(B&A)>A"
7,"(B&#)>A"
7,"(#&A)>A"
7,"(#&B)>A"
7,"(#&#)>A"
7,"A>(A|A)"
7,"(A|A)>A"
7,"A>(A|B)"
7,"A>(A|#)"
7,"(A|#)>A"
7,"A>(B|A)"
7,"A>(#|A)"
7,"(#|A)>A"
7,"(#|#)>A"
7,"A>(A>A)"
7,"A>(B>A)"
7,"A>(B>B)"
7,"A>(#>A)"
7,"A>(#>B)"
7,"A>(#>#)"
7,"A>(A=A)"
7,"A>(B=B)"
7,"A>(#=#)"
4,"B>~#"
4,"-#>B"
7,"(A&B)>B"
7,"(A&#)>B"
7,"(B&A)>B"
7,"B>(B&B)"
7,"(B&B)>B"
7,"(B&#)>B"
7,"(#&A)>B"
7,"(#&B)>B"
7,"(#&#)>B"
7,"B>(A|B)"
7,"B>(B|A)"
7,"B>(B|B)"
7,"(B|B)>B"
7,"B>(B|#)"
7,"(B|#)>B"
7,"B>(#|B)"
7,"(#|B)>B"
7,"(#|#)>B"
7,"B>(A>A)"
7,"B>(A>B)"
7,"B>(B>B)"
7,"B>(#>A)"
7,"B>(#>B)"
7,"B>(#>#)"
7,"B>(A=A)"
7,"B>(B=B)"
7,"B>(#=#)"
4,"#>~A"
4,"#>~B"
4,"#>~#"
4,"#>+A"
4,"#>+B"
4,"#>+#"
4,"#>-A"
4,"#>-B"
4,"#>-#"
4,"-#>#"
7,"#>(A&A)"
7,"#>(A&B)"
7,"#>(A&#)"
7,"(A&#)>#"
7,"#>(B&A)"
7,"#>(B&B)"
7,"#>(B&#)"
7,"(B&#)>#"
7,"#>(#&A)"
7,"(#&A)>#"
7,"#>(#&B)"
